# This file includes all the fragments which should be recognized by
# genexpro4ceq8800. Of course you can adapt the list to your needs. The
# ``frag_id'' is a unique numeric identifier for each fragment. The fragment
# with the number ``0'' has to be the one which serves as the reference
# fragment. See README for more details.
#frag_id	apparent run length in nucleotides
0	324.10
1	114.40
2	120.30
3	134.70
4	138.80
5	146.30
6	149.70
7	159.50
8	163.40
9	171.30
10	176.70
11	183.70
12	195.00
13	201.40
14	207.80
15	217.40
16	231.00
17	238.00
18	244.70
19	250.90
20	255.00
21	260.50
22	268.20
23	271.80
24	276.70
25	286.40
26	292.00
27	298.30
28	303.70
29	308.80
30	316.70
31	328.50
32	338.00
33	344.70
34	348.70
35	357.30
